"EP_PlotID","exploratory","plant_genus","plant_species","inflorescences_qcm","survey","date","LUI","Year"
"AEG11","ALB","Crepis","Crepis biennis",85,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Crepis","Crepis biennis",70,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Crepis","Crepis biennis",80,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Crepis","Crepis biennis",85,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Galium","Galium mollugo agg.",330,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Galium","Galium mollugo agg.",420,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Galium","Galium mollugo agg.",190,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Galium","Galium mollugo agg.",310,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Geranium","Geranium pyrenaicum",3,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Geranium","Geranium pyrenaicum",5,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Heracleum","Heracleum sphondylium",10,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Plantago","Plantago major",295,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Plantago","Plantago major",245,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Plantago","Plantago major",135,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Plantago","Plantago major",220,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Plantago","Plantago media",300,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Ranunculus","Ranunculus nemorosus",90,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Ranunculus","Ranunculus nemorosus",90,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Ranunculus","Ranunculus nemorosus",75,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Ranunculus","Ranunculus nemorosus",50,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium pratense",430,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium pratense",295,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium pratense",325,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium pratense",345,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium repens",100,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium repens",110,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium repens",140,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Trifolium","Trifolium repens",65,4,2009-08-08,0.276943802925327,"2009"
"AEG11","ALB","Vicia","Vicia sativa",50,1,2009-07-27,0.276943802925327,"2009"
"AEG11","ALB","Vicia","Vicia sativa",40,2,2009-07-30,0.276943802925327,"2009"
"AEG11","ALB","Vicia","Vicia sativa",60,3,2009-08-05,0.276943802925327,"2009"
"AEG11","ALB","Vicia","Vicia sativa",40,4,2009-08-08,0.276943802925327,"2009"
"AEG14","ALB","Achillea","Achillea millefolium agg.",70,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Achillea","Achillea millefolium agg.",310,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Achillea","Achillea millefolium agg.",40,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Achillea","Achillea millefolium agg.",40,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Bellis","Bellis perennis",5,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Campanula","Campanula rotundifolia",25,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Campanula","Campanula rotundifolia",30,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Campanula","Campanula rotundifolia",10,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Galium","Galium mollugo agg.",290,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Galium","Galium mollugo agg.",630,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Galium","Galium mollugo agg.",350,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Galium","Galium mollugo agg.",160,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Heracleum","Heracleum sphondylium",870,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Heracleum","Heracleum sphondylium",700,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Heracleum","Heracleum sphondylium",120,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Heracleum","Heracleum sphondylium",65,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Leucanthemum","Leucanthemum vulgare",4,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Leucanthemum","Leucanthemum vulgare",15,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Medicago","Medicago lupulina",20,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Medicago","Medicago lupulina",30,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Medicago","Medicago lupulina",40,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Medicago","Medicago lupulina",30,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago major",65,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago major",75,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago major",25,3,2009-08-06,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago major",5,4,2009-08-12,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago media",12,1,2009-07-24,0.241739799846035,"2009"
"AEG14","ALB","Plantago","Plantago media",10,2,2009-07-29,0.241739799846035,"2009"
"AEG14","ALB","Ranunculus","Ranunculus acris",10,4,2009-08-12,0.241739799846035,"2009"
